SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
70,永和,0.8,行政院環保署,2016-11-8
70,永和,0,行政院環保署,2016-11-7
70,永和,x,行政院環保署,2016-11-6
70,永和,0,行政院環保署,2016-11-5
70,永和,0.6,行政院環保署,2016-11-4
70,永和,0,行政院環保署,2016-11-3
70,永和,0,行政院環保署,2016-11-2
70,永和,2,行政院環保署,2016-11-1
69,竹山,4.4,行政院環保署,2016-11-30
69,竹山,0,行政院環保署,2016-11-29
69,竹山,0,行政院環保署,2016-11-28
69,竹山,46.8,行政院環保署,2016-11-27
69,竹山,0.4,行政院環保署,2016-11-26
69,竹山,0,行政院環保署,2016-11-25
69,竹山,0.2,行政院環保署,2016-11-24
69,竹山,37.2,行政院環保署,2016-11-23
69,竹山,2,行政院環保署,2016-11-22
69,竹山,2.4,行政院環保署,2016-11-21
69,竹山,1.2,行政院環保署,2016-11-20
69,竹山,0,行政院環保署,2016-11-19
69,竹山,0,行政院環保署,2016-11-18
69,竹山,0,行政院環保署,2016-11-17
69,竹山,0,行政院環保署,2016-11-16
69,竹山,0,行政院環保署,2016-11-15
69,竹山,0,行政院環保署,2016-11-14
69,竹山,0,行政院環保署,2016-11-13
69,竹山,0,行政院環保署,2016-11-12
69,竹山,0,行政院環保署,2016-11-11
69,竹山,0.2,行政院環保署,2016-11-10
69,竹山,0,行政院環保署,2016-11-9
69,竹山,0,行政院環保署,2016-11-8
69,竹山,0,行政院環保署,2016-11-7
69,竹山,0,行政院環保署,2016-11-6
69,竹山,0,行政院環保署,2016-11-5
69,竹山,0,行政院環保署,2016-11-4
69,竹山,0,行政院環保署,2016-11-3
69,竹山,0,行政院環保署,2016-11-2
69,竹山,0,行政院環保署,2016-11-1
68,中壢,0,行政院環保署,2016-11-30
68,中壢,0,行政院環保署,2016-11-29
68,中壢,0.2,行政院環保署,2016-11-28
68,中壢,15.4,行政院環保署,2016-11-27
68,中壢,3.2,行政院環保署,2016-11-26
68,中壢,0,行政院環保署,2016-11-25
68,中壢,0.6,行政院環保署,2016-11-24
68,中壢,56.4,行政院環保署,2016-11-23
68,中壢,19.4,行政院環保署,2016-11-22
68,中壢,15.8,行政院環保署,2016-11-21
68,中壢,10.6,行政院環保署,2016-11-20
68,中壢,0,行政院環保署,2016-11-19
68,中壢,1.4,行政院環保署,2016-11-18
68,中壢,0,行政院環保署,2016-11-17
68,中壢,0,行政院環保署,2016-11-16
68,中壢,0,行政院環保署,2016-11-15
68,中壢,0,行政院環保署,2016-11-14
68,中壢,0,行政院環保署,2016-11-13
68,中壢,0,行政院環保署,2016-11-12
68,中壢,0,行政院環保署,2016-11-11
68,中壢,8.6,行政院環保署,2016-11-10
68,中壢,0,行政院環保署,2016-11-9
68,中壢,7.6,行政院環保署,2016-11-8
68,中壢,0,行政院環保署,2016-11-7
68,中壢,0,行政院環保署,2016-11-6
68,中壢,0,行政院環保署,2016-11-5
68,中壢,0,行政院環保署,2016-11-4
68,中壢,0,行政院環保署,2016-11-3
68,中壢,0,行政院環保署,2016-11-2
68,中壢,3.6,行政院環保署,2016-11-1
67,三重,0,行政院環保署,2016-11-30
67,三重,0,行政院環保署,2016-11-29
67,三重,0,行政院環保署,2016-11-28
67,三重,7.8,行政院環保署,2016-11-27
67,三重,2.4,行政院環保署,2016-11-26
67,三重,0,行政院環保署,2016-11-25
67,三重,0,行政院環保署,2016-11-24
67,三重,34.4,行政院環保署,2016-11-23
67,三重,27.6,行政院環保署,2016-11-22
67,三重,13.2,行政院環保署,2016-11-21
67,三重,7.8,行政院環保署,2016-11-20
67,三重,0,行政院環保署,2016-11-19
67,三重,0.6,行政院環保署,2016-11-18
67,三重,0,行政院環保署,2016-11-17
67,三重,0,行政院環保署,2016-11-16
67,三重,0,行政院環保署,2016-11-15
67,三重,0,行政院環保署,2016-11-14
67,三重,0,行政院環保署,2016-11-13
67,三重,0,行政院環保署,2016-11-12
67,三重,0,行政院環保署,2016-11-11
67,三重,5.6,行政院環保署,2016-11-10
67,三重,0,行政院環保署,2016-11-9
67,三重,0.4,行政院環保署,2016-11-8
67,三重,0,行政院環保署,2016-11-7
67,三重,0,行政院環保署,2016-11-6
67,三重,0,行政院環保署,2016-11-5
67,三重,0.2,行政院環保署,2016-11-4
67,三重,0,行政院環保署,2016-11-3
67,三重,0,行政院環保署,2016-11-2
67,三重,2.4,行政院環保署,2016-11-1
66,冬山,4.2,行政院環保署,2016-11-30
66,冬山,7.6,行政院環保署,2016-11-29
66,冬山,0,行政院環保署,2016-11-28
66,冬山,12.2,行政院環保署,2016-11-27
